time,signal,channel
0.0001,0.839539,3
0.0002,0.776672,3
0.0003,1.026611,3
0.0004,0.938873,3
0.0005,1.088409,3
0.0006,1.001282,3
0.0007,1.163483,3
0.0008,1.152191,3
0.0009,0.356903,3
0.001,1.078949,3
0.0011,0.922546,3
0.0012,0.9758,3
0.0013,0.882263,3
0.0014,1.140289,3
0.0015,1.007233,3
0.0016,1.003418,3
0.0017,1.03714,3
0.0018,1.275635,3
0.0019,0.956116,3
0.002,1.372986,3
0.0021,1.036072,3
0.0022,1.420441,3
0.0023,0.834961,3
0.0024,0.749664,3
0.0025,0.805664,3
0.0026,1.344147,3
0.0027,1.035614,3
0.0028,1.146393,3
0.0029,0.771027,3
0.003,1.417236,3
0.0031,1.179199,3
0.0032,0.729218,3
0.0033,0.772095,3
0.0034,1.183777,3
0.0035,1.065216,3
0.0036,0.880737,3
0.0037,1.158295,3
0.0038,1.184387,3
0.0039,0.896759,3
0.004,1.043854,3
0.0041,0.402069,3
0.0042,1.141968,3
0.0043,1.548615,3
0.0044,1.472626,3
0.0045,0.913391,3
0.0046,0.692902,3
0.0047,0.161285,3
0.0048,1.044312,3
0.0049,1.072235,3
0.005,0.852966,3
0.0051,1.430206,3
0.0052,0.980988,3
0.0053,0.808868,3
0.0054,0.684662,3
0.0055,0.255432,3
0.0056,1.192169,3
0.0057,0.995483,3
0.0058,1.147919,3
0.0059,0.978088,3
0.006,0.895081,3
0.0061,0.695496,3
0.0062,0.904846,3
0.0063,0.781708,3
0.0064,0.655518,3
0.0065,1.15387,3
0.0066,0.8255,3
0.0067,0.800934,3
0.0068,0.735626,3
0.0069,0.488586,3
0.007,0.943298,3
0.0071,0.38147,3
0.0072,0.937195,3
0.0073,0.330505,3
0.0074,0.437927,3
0.0075,0.654297,3
0.0076,0.464783,3
0.0077,0.449219,3
0.0078,0.865173,3
0.0079,0.970306,3
0.008,0.539856,3
0.0081,1.016998,3
0.0082,0.901642,3
0.0083,0.811157,3
0.0084,1.411591,3
0.0085,1.014862,3
0.0086,1.103516,3
0.0087,0.735626,3
0.0088,0.747375,3
0.0089,1.07666,3
0.009,0.858459,3
0.0091,0.525665,3
0.0092,1.136932,3
0.0093,1.247711,3
0.0094,0.566254,3
0.0095,1.439056,3
0.0096,0.913391,3
0.0097,1.469116,3
0.0098,1.113434,3
0.0099,0.727081,3
0.01,0.395355,3
0.0101,1.250153,3
0.0102,0.843201,3
0.0103,0.871735,3
0.0104,1.013489,3
0.0105,0.700226,3
0.0106,0.851288,3
0.0107,0.856934,3
0.0108,1.183014,3
0.0109,1.383667,3
0.011,1.455841,3
0.0111,0.699921,3
0.0112,0.709534,3
0.0113,1.377106,3
0.0114,1.39328,3
0.0115,0.722809,3
0.0116,0.918579,3
0.0117,1.531067,3
0.0118,0.709229,3
0.0119,0.671692,3
0.012,1.27533,3
0.0121,0.684967,3
0.0122,0.784912,3
0.0123,0.826874,3
0.0124,0.917358,3
0.0125,0.748291,3
0.0126,0.948944,3
0.0127,1.130676,3
0.0128,0.796814,3
0.0129,0.532227,3
0.013,0.922394,3
0.0131,0.872803,3
0.0132,0.936584,3
0.0133,0.973358,3
0.0134,1.151276,3
0.0135,0.569,3
0.0136,1.061249,3
0.0137,0.893402,3
0.0138,0.982056,3
0.0139,1.110992,3
0.014,1.02417,3
0.0141,1.291809,3
0.0142,1.167297,3
0.0143,1.192017,3
0.0144,1.017609,3
0.0145,1.274261,3
0.0146,0.92514,3
0.0147,0.747986,3
0.0148,1.157074,3
0.0149,1.191254,3
0.015,0.788879,3
0.0151,0.930939,3
0.0152,0.744324,3
0.0153,1.039886,3
0.0154,0.986633,3
0.0155,0.982971,3
0.0156,0.998535,3
0.0157,0.769806,3
0.0158,0.861511,3
0.0159,1.049805,3
0.016,1.011505,3
0.0161,0.794678,3
0.0162,1.186523,3
0.0163,1.377563,3
0.0164,1.325836,3
0.0165,0.83374,3
0.0166,0.892029,3
0.0167,1.277771,3
0.0168,1.097107,3
0.0169,0.808411,3
0.017,1.182556,3
0.0171,1.319427,3
0.0172,0.932617,3
0.0173,1.156311,3
0.0174,1.406555,3
0.0175,1.059723,3
0.0176,0.55954,3
0.0177,1.28067,3
0.0178,0.501862,3
0.0179,1.475067,3
0.018,1.510925,3
0.0181,1.149445,3
0.0182,1.364594,3
0.0183,0.895996,3
0.0184,1.200409,3
0.0185,1.31134,3
0.0186,1.016235,3
0.0187,1.10733,3
0.0188,1.09314,3
0.0189,0.720062,3
0.019,0.938416,3
0.0191,0.845032,3
0.0192,0.49408,3
0.0193,0.691681,3
0.0194,1.159058,3
0.0195,1.148987,3
0.0196,0.798035,3
0.0197,1.519012,3
0.0198,0.877533,3
0.0199,1.194153,3
0.02,0.847321,3
0.0201,0.828552,3
0.0202,1.434937,3
0.0203,0.571594,3
0.0204,1.190643,3
0.0205,0.723114,3
0.0206,2.040558,3
0.0207,1.257324,3
0.0208,0.899353,3
0.0209,1.170044,3
0.021,0.773773,3
0.0211,1.227417,3
0.0212,0.953522,3
0.0213,1.026154,3
0.0214,1.19751,3
0.0215,1.233063,3
0.0216,1.139984,3
0.0217,0.769653,3
0.0218,1.506195,3
0.0219,0.823669,3
0.022,0.502625,3
0.0221,0.626678,3
0.0222,0.848083,3
0.0223,1.199341,3
0.0224,0.780334,3
0.0225,0.879517,3
0.0226,0.740814,3
0.0227,0.837555,3
0.0228,1.131287,3
0.0229,1.088257,3
0.023,0.986786,3
0.0231,0.773163,3
0.0232,1.334686,3
0.0233,1.345825,3
0.0234,0.937805,3
0.0235,0.72525,3
0.0236,0.701294,3
0.0237,1.33667,3
0.0238,0.500641,3
0.0239,0.648499,3
0.024,0.995178,3
0.0241,1.380768,3
0.0242,0.907745,3
0.0243,1.00769,3
0.0244,0.697479,3
0.0245,1.001282,3
0.0246,0.664368,3
0.0247,0.776062,3
0.0248,1.101227,3
0.0249,0.737305,3
0.025,1.066742,3
0.0251,1.076202,3
0.0252,0.204926,3
0.0253,1.010437,3
0.0254,0.882721,3
0.0255,1.302338,3
0.0256,0.975494,3
0.0257,0.818787,3
0.0258,1.110687,3
0.0259,0.541992,3
0.026,0.759125,3
0.0261,1.014557,3
0.0262,0.620575,3
0.0263,0.523376,3
0.0264,0.974579,3
0.0265,0.857086,3
0.0266,0.762634,3
0.0267,0.489044,3
0.0268,0.895996,3
0.0269,0.715332,3
0.027,0.835114,3
0.0271,0.890198,3
0.0272,0.632019,3
0.0273,1.025543,3
0.0274,0.858002,3
0.0275,1.276703,3
0.0276,-0.46814,2
0.0277,-0.119934,2
0.0278,0.679474,3
0.0279,1.029053,3
0.028,0.052643,2
0.0281,0.124207,2
0.0282,1.133881,3
0.0283,0.624847,3
0.0284,1.263885,3
0.0285,-0.10498,2
0.0286,-0.575714,2
0.0287,-0.075836,2
0.0288,1.086578,3
0.0289,0.513611,3
0.029,1.334991,3
0.0291,0.822906,3
0.0292,0.920105,3
0.0293,0.575562,3
0.0294,1.099243,3
0.0295,0.869904,3
0.0296,0.753021,3
0.0297,0.960388,3
0.0298,0.775299,3
0.0299,1.01059,3
0.03,0.706177,3
0.0301,0.631256,3
0.0302,1.062469,3
0.0303,0.752869,3
0.0304,1.637115,3
0.0305,0.79895,3
0.0306,1.153107,3
0.0307,0.541687,3
0.0308,0.835266,3
0.0309,1.248016,3
0.031,1.070862,3
0.0311,1.306915,3
0.0312,1.346741,3
0.0313,0.790558,3
0.0314,1.405334,3
0.0315,1.37619,3
0.0316,1.186218,3
0.0317,0.420227,3
0.0318,1.074066,3
0.0319,1.526031,3
0.032,0.962372,3
0.0321,1.192932,3
0.0322,1.238708,3
0.0323,0.934448,3
0.0324,0.678558,3
0.0325,1.115875,3
0.0326,1.18103,3
0.0327,0.695648,3
0.0328,0.478973,3
0.0329,1.206055,3
0.033,1.029968,3
0.0331,1.03363,3
0.0332,0.718231,3
0.0333,0.992584,3
0.0334,1.437988,3
0.0335,0.91156,3
0.0336,0.809631,3
0.0337,0.867462,3
0.0338,0.914917,3
0.0339,-0.566559,2
0.034,-0.169983,2
0.0341,0.155182,2
0.0342,0.337677,2
0.0343,0.890198,3
0.0344,0.673065,3
0.0345,-0.137787,2
0.0346,-0.194092,2
0.0347,-0.130615,2
0.0348,0.044098,2
0.0349,-0.278015,2
0.035,0.203857,2
0.0351,-0.30304,2
0.0352,-0.269318,2
0.0353,-0.082092,2
0.0354,-0.686188,2
0.0355,-0.144501,2
0.0356,-0.101624,2
0.0357,1.20163,3
0.0358,1.017761,3
0.0359,-0.161133,2
0.036,1.231995,3
0.0361,1.065674,3
0.0362,1.467133,3
0.0363,1.2146,3
0.0364,-0.420685,2
0.0365,0.956879,3
0.0366,-0.110779,2
0.0367,-0.03067,2
0.0368,-0.370789,2
0.0369,1.277924,3
0.037,0.871735,3
0.0371,1.35437,3
0.0372,1.108704,3
0.0373,-0.19455,2
0.0374,-0.377655,2
0.0375,-0.12619,2
0.0376,-0.272675,2
0.0377,0.108643,2
0.0378,-0.132446,2
0.0379,-0.054932,2
0.038,0.05249,2
0.0381,1.151276,3
0.0382,0.772858,3
0.0383,0.432434,3
0.0384,1.286774,3
0.0385,1.339569,3
0.0386,0.921021,3
0.0387,-0.013733,2
0.0388,-0.30014,2
0.0389,0.048218,2
0.039,0.748444,3
0.0391,0.870056,3
0.0392,0.838776,3
0.0393,0.94986,3
0.0394,0.748444,3
0.0395,1.086426,3
0.0396,0.805969,3
0.0397,0.818939,3
0.0398,1.367188,3
0.0399,0.799713,3
0.04,0.708771,3
0.0401,0.99884,3
0.0402,1.399689,3
0.0403,0.822144,3
0.0404,0.95932,3
0.0405,1.200562,3
0.0406,1.041412,3
0.0407,1.155701,3
0.0408,1.381073,3
0.0409,0.374451,3
0.041,1.420593,3
0.0411,0.883179,3
0.0412,1.548767,3
0.0413,1.184998,3
0.0414,1.330719,3
0.0415,1.02066,3
0.0416,0.565643,3
0.0417,0.869904,3
0.0418,0.848999,3
0.0419,0.544586,3
0.042,0.891876,3
0.0421,0.978088,3
0.0422,1.030273,3
0.0423,0.942841,3
0.0424,1.300964,3
0.0425,1.078186,3
0.0426,1.190338,3
0.0427,0.503998,3
0.0428,0.607147,3
0.0429,0.952759,3
0.043,1.318359,3
0.0431,1.038666,3
0.0432,0.844421,3
0.0433,0.871887,3
0.0434,1.169128,3
0.0435,0.901031,3
0.0436,0.689697,3
0.0437,1.025543,3
0.0438,0.350494,3
0.0439,0.847015,3
0.044,1.147919,3
0.0441,1.4328,3
0.0442,1.052094,3
0.0443,1.09436,3
0.0444,0.918732,3
0.0445,1.357422,3
0.0446,1.162567,3
0.0447,1.345062,3
0.0448,0.92514,3
0.0449,0.637207,3
0.045,0.966492,3
0.0451,1.152954,3
0.0452,0.906982,3
0.0453,0.703583,3
0.0454,0.841064,3
0.0455,1.098175,3
0.0456,1.03653,3
0.0457,0.445099,3
0.0458,0.992889,3
0.0459,0.900574,3
0.046,1.375732,3
0.0461,0.513763,3
0.0462,0.748444,3
0.0463,0.885925,3
0.0464,0.680237,3
0.0465,1.14563,3
0.0466,0.561371,3
0.0467,0.781555,3
0.0468,1.000671,3
0.0469,0.82077,3
0.047,1.015167,3
0.0471,1.026154,3
0.0472,0.619965,3
0.0473,0.418549,3
0.0474,0.427094,3
0.0475,1.345673,3
0.0476,0.752869,3
0.0477,1.282501,3
0.0478,0.997467,3
0.0479,1.047058,3
0.048,0.940247,3
0.0481,0.907898,3
0.0482,0.962372,3
0.0483,0.276184,3
0.0484,0.860901,3
0.0485,1.11908,3
0.0486,0.896912,3
0.0487,0.907898,3
0.0488,0.722504,3
0.0489,1.344299,3
0.049,1.348114,3
0.0491,1.010284,3
0.0492,1.39328,3
0.0493,1.11084,3
0.0494,1.050873,3
0.0495,0.435181,3
0.0496,0.000763,2
0.0497,-0.390015,2
0.0498,-0.120087,2
0.0499,0.169678,2
0.05,1.131287,3
0.0501,-0.803223,2
0.0502,-0.091705,2
0.0503,-0.282745,2
0.0504,-0.042419,2
0.0505,-0.240784,2
0.0506,-0.496979,2
0.0507,-0.490875,2
0.0508,-0.291138,2
0.0509,0.119476,2
0.051,-0.228577,2
0.0511,-1.162262,2
0.0512,-0.386505,2
0.0513,-0.720673,2
0.0514,-0.144806,2
0.0515,0.110931,2
0.0516,-0.102844,2
0.0517,0.205078,2
0.0518,-0.178833,2
0.0519,-0.448608,2
0.052,-0.425568,2
0.0521,-0.4422,2
0.0522,-0.073395,2
0.0523,-0.520782,2
0.0524,-0.466156,2
0.0525,-0.110168,2
0.0526,-0.41687,2
0.0527,-0.179749,2
0.0528,-0.335388,2
0.0529,-0.44693,2
0.053,-0.462952,2
0.0531,-0.048523,2
0.0532,-0.196533,2
0.0533,-0.122375,2
0.0534,0.319977,2
0.0535,-0.306854,2
0.0536,-0.456848,2
0.0537,-0.434723,2
0.0538,-0.453949,2
0.0539,0.080566,2
0.054,0.116425,2
0.0541,-0.534058,2
0.0542,0.039825,2
0.0543,-0.130463,2
0.0544,0.023193,2
0.0545,0.525818,2
0.0546,-0.565796,2
0.0547,0.130157,2
0.0548,0.682831,3
0.0549,-0.358429,2
0.055,-0.154572,2
0.0551,1.625977,3
0.0552,0.854797,3
0.0553,1.097412,3
0.0554,1.11145,3
0.0555,-0.207062,2
0.0556,-0.603638,2
0.0557,1.128693,3
0.0558,0.788422,3
0.0559,1.414795,3
0.056,0.382843,3
0.0561,-0.700989,2
0.0562,-0.417786,2
0.0563,0.346527,2
0.0564,0.261078,2
0.0565,1.388397,3
0.0566,0.918579,3
0.0567,0.178375,2
0.0568,1.273041,3
0.0569,0.941925,3
0.057,1.034088,3
0.0571,0.185547,2
0.0572,-0.376129,2
0.0573,0.15152,2
0.0574,-0.023956,2
0.0575,0.839539,3
0.0576,1.175232,3
0.0577,1.241455,3
0.0578,1.543732,3
0.0579,-0.095062,2
0.058,-0.522003,2
0.0581,-0.354004,2
0.0582,-0.198212,2
0.0583,-0.135956,2
0.0584,0.509338,2
0.0585,0.132294,2
0.0586,-0.564117,2
0.0587,-0.235748,2
0.0588,-0.199432,2
0.0589,0.155945,2
0.059,-0.033569,2
0.0591,0.090942,2
0.0592,-0.293121,2
0.0593,-0.679321,2
0.0594,-0.136108,2
0.0595,-0.178223,2
0.0596,-0.175171,2
